phenotype,N,pct,mean_sleep_hrs,std_sleep_hrs,pct_short_sleep,pct_long_sleep,iqr_sleep_hrs,mean_daily_steps,age,bmi,n_valid_nights,pct_female
Consistent Good Sleepers,17796,39.3,7.1281723776762735,0.9476623618766135,0.12252204595793312,0.033467127015190175,1.1410906945380983,7787.93950403847,58.469375140481006,27.61857759427479,792.301753202967,0.6734097550011239
Chronic Short & Variable,10703,23.6,6.887583189742533,1.4433855687998869,0.28764808426170124,0.08079523494859467,1.971180977296085,6180.993060258631,52.668223862468466,30.823888433359265,576.1435111650939,0.7349341306175838
Short but Regular,12186,26.9,6.130453112126304,1.066219424248603,0.47047219936833584,0.011992115206783433,1.4324528830898846,7471.578792488517,58.65378302970622,30.353969119108754,628.205317577548,0.561710159199081
Variable Long Sleepers,4574,10.1,7.971111256502567,1.4771954610708544,0.11275230898151664,0.2521861629094478,1.973570725841714,5386.089866965479,54.160253607345865,30.009721497787517,565.4787931788369,0.755137735024049
