feature,coefficient
age,-0.08452099343026855
bmi,-0.09221586673488852
n_valid_nights,0.031315880366689405
log_steps,-0.10806457336381214
steps_cv,0.015265516508787557
employed,-0.04964011907980205
education_num,0.01144832112151268
health_num,0.013161879566082937
income_num,0.019434659285964682
gender_Male,-0.08740731422728024
gender_Other,-0.004398550134456101
race_ethnicity_Black or African American,-0.0022283151835896394
race_ethnicity_Hispanic or Latino,0.06572423885375703
race_ethnicity_More than one population,0.05186007398049611
race_ethnicity_Other,0.03573352836385239
race_ethnicity_Unknown,0.04084764202328549
race_ethnicity_White,0.16683668694588386
